Purchase date;First name;Last name;Age;Car brand;Mileage (km/year)
2013-06-17;Devin;O'Reilly;34;Peugeot;12007
2008-07-23;Lon;Runte;62;Tesla;11585
2008-09-14;Carlos;Erdman;55;Renaud;17615
2013-06-28;Denita;Jerde;44;Tesla;3014
2008-09-14;Shanell;Cartwright;16;Renaud;6033
2014-05-29;Charlyn;Cummings;28;Tata;15799
2018-01-04;Javier;Wiegand;57;Ford;4197
2014-05-24;Soila;Kohler;58;peugeot;4879
2018-01-04;Porter;Powlowski;71;peugeot;11460
2009-04-25;Kathyrn;Gerhold;67;Peugeot;12065
2010-10-29;Marita;Spencer;19;Citroen;10394
2008-09-12;Terry;Stokes;30;Peugeot;13184
2018-01-04;Hong;Crist;70;Citroen;1261
2008-10-04;Rosanne;Gaylord;55;Volkswagen;16453
2016-09-25;Levi;Lockman;60;Renaud;11874
2016-05-04;Rebecka;Mayer;16;Renaud;10955
2009-03-06;Hiroko;Wolff;41;Citroën;15461
2018-03-10;Avery;Bartell;28;Tata;18486
2018-03-12;Olive;Von;64;Tata;6916
2012-06-08;Moses;Wisozk;46;Citroën;2464
2010-08-27;Maira;Dach;23;Peugeot;13768
2017-04-19;Sina;Stroman;31;Nissan;13441
2017-04-21;Blake;Pouros;37;Renaud;2160
2017-04-23;Marquetta;Macejkovic;48;Ford;7111
2017-02-08;Lilian;Hane;69;Peugeot;7267
2012-02-29;Alane;Nitzsche;29;Nissan;15875
2011-10-09;Paola;Hamill;70;Citroën;4182
2016-10-25;Regenia;Bednar;41;peugeot;17442
2008-07-23;Sam;Mann;57;Renaud;1453
2009-05-18;Xiomara;Mraz;17;Peugeot;11648
2010-01-27;Aaron;Thompson;34;Renaud;1569
2017-03-30;Britany;Kunze;20;Peugeot;19779
2018-01-04;Donald;Wilkinson;54;Tata;11995
2011-09-04;Conception;Kozey;51;Citroen;11073
2015-03-03;Diego;Greenfelder;22;Tata;4104
2018-01-04;Mark;Graham;29;Citroën;14861
2014-05-13;Kimberley;Ankunding;21;Ford;14822
2008-06-27;Jayna;Klein;32;Citroën;2499
2015-09-01;Idell;Miller;43;peugeot;13658
2012-01-10;Vannessa;Monahan;30;Nissan;7288
2009-06-17;Arnulfo;Connelly;24;Tata;18241
2016-08-12;Scarlett;Wehner;49;Peugeot;7957
2013-06-26;Don;Bins;65;Citroen;3453
2014-08-25;Nadine;Harber;30;Nissan;19491
2011-01-09;Reggie;Sporer;72;Nissan;10327
2017-10-18;Mozella;Douglas;64;Citroen;18587
2009-03-14;Destiny;Cremin;42;Volkswagen;14225
2012-03-09;Quentin;Bruen;75;Tesla;18717
2015-11-15;Keenan;Carroll;42;Ford;6894
2010-08-27;Richie;Wunsch;62;Peugeot;6274
2015-01-02;Jay;Larson;38;Tata;18148
2017-01-15;Cher;Rogahn;16;Renaud;3230
2008-11-21;Foster;O'Kon;44;Renaud;16961
2015-11-13;Sharika;Gutkowski;50;Peugeot;8673
2012-03-09;Cyrstal;Howell;68;Tesla;9881
2018-03-10;Tony;Parker;38;peugeot;7401
2017-04-23;Junior;Murazik;70;Peugeot;5059
2011-04-20;Cristina;Rutherford;43;Ford;10234
2009-06-18;Allan;Hills;64;Renaud;11564
2008-09-14;Brendan;Schaefer;34;Ford;19289
2010-05-20;Sunshine;Gutmann;32;Tata;13633
2016-05-04;Joseph;Cassin;24;Ford;10255
2013-12-14;Tristan;Barrows;44;Renaud;14492
2009-04-25;Cletus;Feeney;66;Tata;9373
2016-05-04;Carman;Steuber;18;Tesla;15147
2009-06-17;Earnestine;Leuschke;62;Tesla;18738
2008-02-12;Jade;Turner;18;Renaud;4983
2011-01-09;Geraldo;Fahey;27;Peugeot;14031
2014-05-24;Jazmine;Skiles;65;Tesla;14279
2008-11-21;Tianna;Upton;33;Volkswagen;16244
2018-01-04;Jeremiah;Nikolaus;21;Renaud;15640
2010-04-12;Adan;McCullough;64;Volkswagen;9933
2017-04-21;Bonita;Stracke;22;Peugeot;7238
2009-03-06;Lavone;Stehr;70;Nissan;6396
2008-11-06;Stacy;Morissette;65;Citroën;14023
2013-12-14;Robert;Frami;31;Citroen;8993
2008-09-12;Columbus;Maggio;73;Citroën;16091
2013-06-26;Winona;Hauck;27;Renaud;1296
2012-06-08;Nadia;Koepp;61;Peugeot;8674
2011-01-09;Cristobal;Lind;56;Nissan;17335
2009-08-29;Kitty;Greenholt;71;Peugeot;15499
2013-06-28;Tobie;Metz;66;Ford;2710
2008-02-12;Frankie;Kuhic;37;Peugeot;13829
2016-09-25;Jillian;Abshire;26;Citroën;18800
2014-05-13;Takako;Klocko;33;Citroen;1146
2009-06-17;Damien;Schmitt;29;Nissan;7251
2014-10-03;Kevin;Walter;65;Ford;10580
2015-10-05;Ivan;Hammes;20;Tata;14097
2015-07-07;Willard;Ritchie;42;Volkswagen;20425
2011-01-09;Elly;Ledner;18;Nissan;11954
2015-03-03;Delena;Ryan;26;Tesla;17496
2018-08-17;Beverlee;Yost;31;Citroen;4888
2017-04-21;Dianna;Becker;40;Tata;18848
2017-02-18;Dorsey;Nicolas;75;peugeot;7959
2016-10-25;Gisela;Gulgowski;46;Tesla;17647
2008-12-19;Thomas;Beier;50;Ford;15145
2008-09-14;Eva;Nolan;40;Tesla;17495
2016-08-12;Chris;Robel;46;Ford;14839
2015-11-15;Tyrone;King;59;Ford;7438
2011-10-23;Sue;Roob;45;Tesla;4526
2017-12-20;Tresa;Wyman;37;Nissan;13705
2018-01-04;Margaretta;Langosh;20;Tesla;12284
2010-04-12;Roxanna;Dietrich;50;Citroen;14410
2013-06-17;Deon;Kerluke;23;Renaud;8570
2014-05-24;Isaac;Oberbrunner;69;Tesla;14524
2008-06-27;Dinorah;Crona;75;Peugeot;12558
2011-10-21;Carter;Paucek;73;peugeot;16778
2012-05-26;Monroe;Botsford;65;Volkswagen;8118
2010-05-02;Carletta;Labadie;60;Ford;20198
2011-07-27;Magan;Dibbert;41;Tesla;11375
2014-02-11;Oneida;Kutch;58;peugeot;1216
2015-11-15;Oleta;Schumm;59;Tata;17377
2013-06-28;Elidia;Gibson;27;peugeot;15051
2015-09-01;Ling;Okuneva;61;Citroen;13986
2011-07-26;Yanira;Beahan;66;peugeot;16519
2017-03-30;Lisbeth;Jacobson;22;peugeot;13731
2008-12-19;Maynard;Casper;38;Peugeot;18505
2011-09-04;Louie;Sauer;65;Volkswagen;17413
2012-01-10;Kenton;Ondricka;19;Tata;18584
2017-03-16;Francis;Spinka;56;Citroën;13014
2014-08-25;Maribel;Brekke;18;Renaud;16661
2010-09-24;Vicente;Bosco;20;Renaud;10076
2016-10-25;Paz;Stanton;73;Tesla;6742
2008-02-12;Meryl;Rowe;39;Peugeot;15249
2017-02-08;Dovie;Hermiston;53;Peugeot;15526
2014-04-17;Eulalia;Rempel;68;Tesla;3476
2009-07-14;Laila;Runolfsson;43;Citroën;6198
2017-01-20;Caterina;Purdy;20;Citroen;4541
2009-06-17;Brinda;Champlin;35;Nissan;8542
2015-03-03;Birdie;Farrell;24;Renaud;13622
2014-05-24;Claude;Bashirian;58;Tesla;1722
2010-05-20;Florance;Bailey;40;peugeot;1130
2010-09-24;Jeff;Prohaska;40;peugeot;652
2008-12-19;Tonda;Fritsch;63;Nissan;11812
2008-09-12;Forest;Hansen;58;Volkswagen;15387
2010-08-27;Remona;Boyle;69;Nissan;13494
2012-07-05;Darrick;Littel;58;Peugeot;18223
2008-11-06;Trevor;Ward;58;Citroën;3226
2011-04-01;Nicholas;Terry;19;peugeot;6459
2008-11-06;Veronika;Dooley;41;Citroën;10704
2017-02-08;Darnell;McDermott;75;Nissan;18776
2009-08-29;Aurea;McKenzie;17;Volkswagen;17632
2013-12-20;Krysten;Berge;21;Citroën;17380
2009-06-17;Loren;Kirlin;73;Citroën;7730
2009-02-09;Bertram;Lindgren;41;Renaud;16198
2015-10-05;Adalberto;Wuckert;43;peugeot;9377
2012-01-10;Randa;Kihn;69;Renaud;1740
2011-10-21;Andrew;Vandervort;62;Ford;18942
2016-03-16;Aimee;Rolfson;23;Ford;6540
2009-03-14;Luciano;Mertz;33;Ford;3254
2009-07-14;Bella;Jacobi;36;Tata;1032
2011-07-04;Sindy;Jacobs;73;peugeot;4455
2017-03-16;Myong;O'Hara;24;Peugeot;9729
2014-10-03;Luigi;Herzog;62;Citroen;16437
2016-12-03;Kendrick;Donnelly;52;Tata;2096
2008-05-03;Ronald;Batz;50;Nissan;18801
2015-11-13;Sid;Sipes;39;Citroën;6776
2018-12-07;Hunter;Kovacek;33;Citroen;1638
2008-10-04;Sherrill;Bogisich;28;Renaud;8622
2013-11-05;Chastity;Reilly;71;Tesla;17128
2010-08-27;Dallas;Murphy;16;peugeot;5115
2017-01-20;Chauncey;Nader;62;Tata;14077
2012-07-05;Felisha;Schmeler;22;Ford;15951
2015-03-03;Maria;Hegmann;41;Ford;8698
2016-09-25;Felica;Gerlach;61;Volkswagen;2149
2009-07-14;Robt;McGlynn;28;Citroen;5182
2017-04-23;Lakeisha;Rodriguez;67;Citroën;6743
2016-01-28;Armando;Rohan;25;Ford;8229
2008-12-19;Merle;Herman;26;Volkswagen;7608
2013-06-28;Horace;Langworth;27;Nissan;16034
2011-01-09;Van;Bradtke;68;Citroën;3612
2008-02-12;Malcolm;Thiel;51;peugeot;17577
2010-05-02;Elisha;Koch;67;Citroën;6514
2008-11-06;Rey;Bayer;64;Tata;9324
2009-03-14;Devon;Kertzmann;68;Peugeot;16900
2011-01-09;Genia;Feest;26;Citroen;9164
2010-05-02;Joaquin;Konopelski;68;Citroen;14239
2018-12-07;Barton;Zulauf;66;peugeot;8003
2015-07-07;Marleen;Blick;38;Citroen;6872
2013-06-17;Katharyn;DuBuque;20;Citroen;14423
2018-01-04;Olen;Torphy;24;Nissan;16923
2010-05-20;Marcy;Keebler;64;Ford;11468
2011-07-27;Harry;Fisher;53;Tata;9100
2013-06-28;Lili;Kreiger;30;Ford;16402
2009-07-14;Stephany;Kling;65;Citroen;6177
2014-02-11;Leigh;Kuhn;51;Peugeot;8494
2008-12-19;Keri;Corwin;19;Volkswagen;19577
2016-01-28;Rich;Bechtelar;40;Citroën;12838
2015-07-07;Hildred;Gorczany;44;Citroen;2235
2009-05-18;Antone;Heaney;33;Renaud;19539
2017-03-30;Deandre;D'Amore;24;Citroën;12660
2014-04-17;Byron;Cormier;42;Ford;8616
2012-01-10;Marshall;Armstrong;67;Peugeot;7120
2017-03-30;Jonie;Lehner;72;Tata;13239
2011-04-01;Lucy;Swift;29;peugeot;9015
2008-09-12;Ricarda;Schimmel;28;peugeot;13007
2016-10-25;Dena;Haag;36;Nissan;11758
2016-08-12;Queen;Ratke;48;Ford;17080
2011-04-20;Hilaria;Ebert;24;Renaud;16936
2009-03-14;Chloe;Emmerich;67;Peugeot;14771
2014-05-17;Cassidy;Considine;65;Renaud;15458
2015-09-01;Alexander;Rath;38;Ford;11724
2013-06-28;Julie;Barton;65;Renaud;12754
2012-07-05;Torrie;Walsh;38;Renaud;13755
2016-09-25;Iraida;Legros;41;Tesla;18162
2016-03-16;Lacey;Conroy;19;Tesla;18446
2012-01-27;Kirk;Kessler;20;Tesla;2186
2011-09-04;Gia;Leannon;58;Peugeot;19239
2015-10-05;Jacquline;Walker;53;Peugeot;2130
2016-10-25;Leighann;Stark;50;Citroen;2449
2009-12-27;Hershel;Franecki;66;peugeot;1790
2009-05-18;Emile;Mohr;41;Peugeot;8205
2017-04-21;Clyde;Ziemann;62;Tesla;11492
2010-05-02;Phuong;Hudson;39;Citroën;12676
2017-04-19;Howard;Pagac;67;Tata;3689
2009-04-25;Anderson;Lakin;22;peugeot;5270
2017-03-30;Cindi;Cruickshank;71;Renaud;5520
2011-07-04;Carlene;Reynolds;35;Ford;1319
2015-03-22;Lavera;Wiza;60;Ford;12178
2017-01-15;Fabian;Runolfsdottir;75;Peugeot;12120
2017-04-21;Hae;Kautzer;44;Nissan;4719
2017-02-18;Arica;Smith;38;Tesla;3308
2009-06-18;Alessandra;Dickens;51;peugeot;15978
2013-06-26;Andrea;Bahringer;71;Citroen;6987
2008-11-21;Fermin;Lemke;45;Citroen;17665
2015-10-05;Odis;Bergstrom;35;Citroen;3170
2014-05-17;Frederick;Block;62;Volkswagen;18667
2011-07-27;Gloria;Gleason;61;peugeot;830
2018-03-10;Douglas;Quigley;74;Tata;7054
2017-03-16;Hyun;VonRueden;61;Ford;11784
2016-03-16;Kristie;Senger;34;Ford;14430
2011-04-20;Hollie;Moore;21;Volkswagen;15097
2008-10-04;Gayle;Mills;73;Volkswagen;15588
2008-05-03;Malinda;Reichel;28;Peugeot;12480
2015-10-05;Arcelia;Bernhard;22;Nissan;11728
2014-08-25;Willia;Balistreri;33;peugeot;1133
2009-02-09;Grant;Schuster;17;Volkswagen;6186
2016-03-16;Eloy;Feil;64;Volkswagen;20258
2013-12-20;Kristopher;O'Keefe;32;peugeot;19941
2009-07-24;Glenn;Yundt;75;Citroen;9316
2011-07-27;Rosalva;West;65;Volkswagen;14101
2017-03-30;Elroy;Fay;72;Ford;13734
2018-07-12;Gary;Waters;58;Nissan;4988
2012-03-09;Saundra;Cronin;23;Tesla;13801
2018-12-07;Jonathon;Homenick;35;Peugeot;11828
2011-08-22;Long;Reinger;26;Volkswagen;18969
2017-02-18;Mario;Heidenreich;35;Tata;7910
2011-09-04;Alta;Conn;70;Citroën;8391
2016-03-16;Oscar;Padberg;33;Renaud;13338
2008-02-12;Pandora;Doyle;29;Peugeot;18330
2017-04-23;Granville;Fadel;25;Peugeot;11677
2017-02-08;Tifany;Lesch;44;peugeot;14999
2017-03-16;Timmy;Ferry;24;Tata;11310
2009-03-06;Jackie;Cole;39;Tata;17104
2018-08-17;Perry;Hilll;67;Nissan;10738
2013-06-28;Antonio;Prosacco;48;Volkswagen;603
2018-03-10;Emanuel;Blanda;49;Tesla;13734
2011-04-01;Julian;Kassulke;48;Citroen;17198
2008-10-04;Isaias;Hodkiewicz;74;Volkswagen;5855
2008-02-12;Aubrey;Torp;60;Tata;17194
2015-01-02;Elna;Kiehn;22;Tata;2384
2017-03-30;Marylynn;Hagenes;72;Peugeot;3881
2010-04-12;Gearldine;Beer;51;Nissan;13251
2016-09-25;Sheryll;Jones;69;peugeot;914
2016-03-16;Gregorio;Olson;58;Citroën;8459
2015-09-01;Pamela;Carter;49;Tata;18099
2008-06-27;Alfreda;Boehm;16;Nissan;19021
2008-06-27;Rodrick;Hackett;57;Citroën;19388
2018-04-02;Willa;Kulas;57;Peugeot;13618
2008-11-21;Austin;Goodwin;23;Nissan;19878
2012-06-08;Lolita;Green;43;Peugeot;17388
2009-02-09;Lewis;Zieme;52;Tata;815
2018-12-07;Toney;Emard;61;peugeot;18392
2008-11-06;Karena;Harris;69;Peugeot;10214
2016-08-12;Benton;O'Conner;60;Tesla;10997
2009-07-24;Gonzalo;Larkin;55;Ford;12415
2015-09-01;Donya;O'Connell;64;Nissan;10879
2011-10-21;Orlando;Rice;55;Tesla;13743
2012-07-05;Tatyana;Wilderman;67;Peugeot;9451
2009-02-09;Dorothea;Tremblay;65;Renaud;3929
2017-04-19;Ryan;McClure;23;Volkswagen;13472
2009-03-14;Taneka;Reichert;17;Volkswagen;9327
2008-10-04;Mayra;Kuvalis;49;Tesla;11321
2018-08-17;Delma;Muller;26;Peugeot;11185
2017-01-15;Letty;Simonis;71;Volkswagen;6175
2018-12-07;Mariana;Jenkins;19;Renaud;13216
2017-04-19;Shavonda;Rippin;52;Renaud;5394
2012-01-27;Trey;Halvorson;70;peugeot;15853
2017-12-20;Abdul;Parisian;23;Citroen;8412
2009-06-17;Ken;Treutel;45;peugeot;9906
2009-07-24;Kesha;Strosin;21;Ford;20209
2011-07-26;Sena;Turcotte;75;Citroën;6176
2014-10-03;Reynaldo;Kuphal;24;peugeot;2583
2010-04-12;Mariam;Sawayn;27;Ford;13090
2010-05-20;Derick;Breitenberg;46;Citroen;11840
2009-04-25;Walker;Zemlak;20;Tata;10365
2017-10-18;King;Russel;62;Ford;17452
2016-09-25;Gilberto;Koss;28;Tata;18637
2009-01-24;Wm;Mosciski;73;Renaud;10162
2008-11-21;Alvin;Tromp;26;Renaud;685
2009-07-24;Roderick;McLaughlin;46;Nissan;4570
2018-03-12;Genny;Crooks;25;Citroën;3227
2009-03-06;Tuan;Collier;75;Tata;5523
2013-06-17;Joel;Schamberger;71;Ford;13358
2017-04-19;Ressie;Dicki;17;Volkswagen;5420
2010-05-20;Darrell;Tillman;26;Volkswagen;6112
2018-03-10;Neomi;Goyette;73;Tata;14242
2010-08-27;Breana;Rau;58;Tesla;9404
2012-05-26;Roxie;Price;47;Volkswagen;16890
2008-10-04;Casandra;Mayert;24;Citroen;12154
2015-10-05;Judson;Hayes;38;Citroën;5815
2010-09-24;Leandro;Braun;62;Volkswagen;15190
2010-08-27;Ulrike;Shanahan;29;peugeot;11985
2012-02-29;Socorro;Schmidt;40;Ford;2101
2014-04-17;Lissa;Stamm;22;Peugeot;19139
2015-10-05;Joe;Aufderhar;27;peugeot;14795
2017-04-21;Craig;Volkman;20;Renaud;621
2017-02-08;Warren;Hessel;30;Tata;5708
2017-12-18;Delmy;Auer;68;Peugeot;4959
2014-04-17;Israel;Roberts;41;Citroen;6771
2015-09-01;Gino;Effertz;35;Renaud;874
2015-03-12;Ashlyn;Stiedemann;68;Tata;7640
2009-07-24;Thomasina;Johnston;21;Tesla;5623
2011-10-09;Vania;Little;45;Peugeot;2214
2017-04-19;Annamaria;Brakus;35;Nissan;9228
2018-01-04;Edgar;Quitzon;27;Nissan;6154
2017-03-16;Kyle;Hand;48;Renaud;1516
2012-01-27;Luther;Weber;40;Nissan;2185
2009-06-17;Tiara;Grimes;24;Renaud;7780
2010-05-20;Kirby;Schroeder;16;Renaud;18605
2018-05-30;Sammy;Kunde;51;Tata;11491
2017-10-18;Miss;Willms;41;Peugeot;3617
2015-09-01;Nathan;Johnson;26;Citroen;7627
2015-10-05;Jerrie;Gottlieb;20;Citroën;18825
2011-09-04;Candra;Huels;26;Ford;8321
2008-05-03;Keith;Kemmer;27;Peugeot;20076
2012-06-08;Mack;Abbott;48;Citroën;18193
2018-03-12;Jess;Pollich;41;Ford;17112
2009-08-29;Gretchen;Pfeffer;31;Volkswagen;19554
2016-05-04;Steven;Baumbach;23;Ford;2632
2017-10-18;Shela;Kub;64;Citroën;5755
2018-12-26;Olinda;Swaniawski;46;Renaud;3946
2016-05-04;Nella;Zboncak;23;Peugeot;2570
2015-11-15;Akiko;Beatty;70;Nissan;12838
2009-05-18;Lajuana;Schulist;42;Citroën;634
2008-05-03;Kelly;Moen;41;Ford;6948
2018-01-04;Alison;Daniel;43;peugeot;1341
2017-10-25;Chuck;Williamson;63;Citroën;17832
2008-12-19;Tonette;Dare;30;Citroën;17051
2017-12-20;Rosalba;Huel;28;Citroen;6856
2015-10-05;Alesia;Deckow;53;Tesla;11967
2012-02-29;Makeda;Howe;21;Tesla;17482
2012-07-05;Ardell;Hermann;46;Citroen;7663
2016-01-28;Shakia;Krajcik;71;Tata;15724
2012-01-27;Kathrine;Christiansen;32;Renaud;10549
2012-02-29;Kam;Windler;74;Volkswagen;11144
2008-05-03;Sheree;Veum;21;Volkswagen;2719
2013-12-20;Hilton;Brown;29;Renaud;8196
2010-05-20;Maia;Shields;67;Citroën;9037
2013-06-26;Kandice;Osinski;50;Nissan;13728
2016-05-04;Brandon;Sanford;22;Volkswagen;5711
2016-10-25;Pete;Funk;31;peugeot;1366
2008-10-04;Margot;Leffler;60;Renaud;16699
2011-04-20;Dorotha;Altenwerth;61;Citroën;14406
2008-05-03;Desmond;Mueller;56;Peugeot;8111
2009-06-18;Marvin;Hirthe;59;Tata;9866
2016-10-25;Philip;Gusikowski;31;Renaud;13619
2011-09-04;Noah;Schaden;42;Nissan;8725
2010-10-29;Wai;White;67;Citroën;16870
2018-01-04;Loria;Lueilwitz;30;Ford;5499
2017-10-25;Willie;Wintheiser;43;Renaud;3790
2011-07-27;Roosevelt;Mitchell;29;Citroën;4612
